""	"FLID"	"Order"	"BGL"	"BGD"	"LGL"	"LGD"
"1"	91	1	"D/K"	"D/K"	"D/K"	"D/K"
"2"	1832	1	"D/K"	"D/K"	"D/K"	"D/K"
"3"	99999	1	"D/K"	"D/K"	"D/K"	"D/K"
"4"	29	1	"D/K"	"D/K"	"D/K"	"D/K"
"5"	67	1	"D/K"	"D/K"	"D/K"	"D/K"
"6"	96	1	"D/K"	"D/K"	"D/K"	"D/K"
"7"	124	1	"D/K"	"D/K"	NA	NA
"8"	225	1	"D/K"	"D/K"	"D/K"	"D/K"
"9"	302	1	"D/K"	"D/K"	"D/K"	"D/K"
"10"	358	1	"D/K"	NA	"D/K"	"D/K"
"11"	456	1	"D/K"	"D/K"	"Virtue"	"Morality"
"12"	543	1	"D/K"	"D/K"	"D/K"	"D/K"
"13"	564	1	"D/K"	"D/K"	"D/K"	"D/K"
"14"	578	1	"D/K"	"D/K"	"D/K"	"D/K"
"15"	1095	1	"D/K"	"D/K"	NA	NA
"16"	1123	1	"D/K"	"D/K"	NA	NA
"17"	6036	1	"Etiquette"	"Morality"	"Etiquette"	"Morality"
"18"	751	3	"Etiquette"	"Morality"	NA	NA
"19"	340	1	"Food"	"D/K"	NA	NA
"20"	1071	1	"Food"	"Morality"	"People"	"Morality"
"21"	1071	3	"Food"	NA	NA	"Ritual"
"22"	85	1	"Miscellaneous"	"Miscellaneous"	"Miscellaneous"	"Miscellaneous"
"23"	136	1	"Miscellaneous"	"Ritual"	"Miscellaneous"	"Ritual"
"24"	1862	1	"Morality"	"Morality"	NA	NA
"25"	404	1	"Morality"	"D/K"	"Morality"	"D/K"
"26"	473	1	"Morality"	"Morality"	NA	NA
"27"	726	1	"Morality"	"D/K"	"Morality"	"D/K"
"28"	1776	1	"Morality"	"Morality"	"Morality"	"Morality"
"29"	91	2	NA	NA	NA	NA
"30"	91	3	NA	NA	NA	NA
"31"	1832	2	NA	NA	NA	NA
"32"	1832	3	NA	NA	NA	NA
"33"	1832	4	NA	NA	NA	NA
"34"	1862	4	NA	NA	NA	NA
"35"	1862	5	NA	NA	NA	NA
"36"	2158	1	NA	NA	NA	NA
"37"	2158	2	NA	NA	NA	NA
"38"	2158	3	NA	NA	NA	NA
"39"	2158	4	NA	NA	NA	NA
"40"	2158	5	NA	NA	NA	NA
"41"	2182	3	NA	NA	NA	NA
"42"	2182	4	NA	NA	NA	NA
"43"	6015	2	NA	NA	NA	NA
"44"	6015	3	NA	NA	NA	NA
"45"	6015	4	NA	NA	NA	NA
"46"	6036	4	NA	NA	NA	NA
"47"	6036	5	NA	NA	NA	NA
"48"	6043	2	NA	NA	NA	NA
"49"	6043	3	NA	NA	NA	NA
"50"	6043	4	NA	NA	NA	NA
"51"	6043	5	NA	NA	NA	NA
"52"	88888	4	NA	NA	NA	NA
"53"	99999	2	NA	NA	NA	NA
"54"	99999	3	NA	NA	NA	NA
"55"	99999	4	NA	NA	NA	NA
"56"	101010	2	NA	"Morality"	NA	"Morality"
"57"	101010	3	NA	"Morality"	NA	NA
"58"	101010	4	NA	NA	NA	NA
"59"	101010	5	NA	NA	NA	NA
"60"	121212	4	NA	NA	NA	NA
"61"	121212	5	NA	NA	NA	NA
"62"	131313	2	NA	"Morality"	NA	"Morality"
"63"	131313	3	NA	"Substance Use/Abuse"	NA	NA
"64"	131313	4	NA	NA	NA	NA
"65"	191919	2	NA	NA	NA	NA
"66"	191919	3	NA	NA	NA	NA
"67"	191919	4	NA	NA	NA	NA
"68"	10	1	NA	NA	"Miscellaneous"	"Morality"
"69"	10	2	NA	NA	NA	"Morality"
"70"	10	3	NA	NA	NA	NA
"71"	29	2	NA	NA	NA	NA
"72"	29	3	NA	NA	NA	NA
"73"	29	4	NA	NA	NA	NA
"74"	29	5	NA	NA	NA	NA
"75"	64	3	NA	NA	NA	NA
"76"	64	4	NA	NA	NA	NA
"77"	64	5	NA	NA	NA	NA
"78"	67	2	NA	NA	NA	NA
"79"	67	3	NA	NA	NA	NA
"80"	67	4	NA	NA	NA	NA
"81"	67	5	NA	NA	NA	NA
"82"	72	3	NA	NA	NA	NA
"83"	72	4	NA	NA	NA	NA
"84"	83	4	NA	NA	NA	NA
"85"	83	5	NA	NA	NA	NA
"86"	85	2	NA	NA	NA	NA
"87"	85	3	NA	NA	NA	NA
"88"	96	2	NA	NA	NA	NA
"89"	96	3	NA	NA	NA	NA
"90"	124	2	NA	NA	NA	NA
"91"	124	3	NA	NA	NA	NA
"92"	124	4	NA	NA	NA	NA
"93"	136	2	NA	"Morality"	NA	"Miscellaneous"
"94"	136	3	NA	NA	NA	NA
"95"	136	4	NA	NA	NA	NA
"96"	136	5	NA	NA	NA	NA
"97"	156	4	NA	NA	NA	NA
"98"	225	2	NA	NA	NA	NA
"99"	225	3	NA	NA	NA	NA
"100"	225	4	NA	NA	NA	NA
"101"	237	2	NA	"Morality"	NA	"Morality"
"102"	237	3	NA	"Morality"	NA	"Morality"
"103"	239	3	NA	NA	NA	NA
"104"	239	4	NA	NA	NA	NA
"105"	239	5	NA	NA	NA	NA
"106"	258	2	NA	"Morality"	NA	"Morality"
"107"	258	3	NA	NA	NA	NA
"108"	258	4	NA	NA	NA	NA
"109"	258	5	NA	NA	NA	NA
"110"	292	2	NA	NA	NA	NA
"111"	292	3	NA	NA	NA	NA
"112"	292	4	NA	NA	NA	NA
"113"	292	5	NA	NA	NA	NA
"114"	302	2	NA	NA	NA	NA
"115"	302	3	NA	NA	NA	NA
"116"	302	4	NA	NA	NA	NA
"117"	329	2	NA	"Morality"	NA	"Morality"
"118"	329	3	NA	"Morality"	NA	NA
"119"	329	4	NA	NA	NA	NA
"120"	337	2	NA	NA	NA	NA
"121"	337	3	NA	NA	NA	NA
"122"	337	4	NA	NA	NA	NA
"123"	340	2	NA	NA	NA	NA
"124"	340	3	NA	NA	NA	NA
"125"	353	1	NA	NA	NA	NA
"126"	353	2	NA	NA	NA	NA
"127"	353	3	NA	NA	NA	NA
"128"	353	4	NA	NA	NA	NA
"129"	358	2	NA	NA	NA	NA
"130"	358	3	NA	NA	NA	NA
"131"	358	4	NA	NA	NA	NA
