""	"FLID"	"Sex"	"Mungu.r"
"1"	1	"F"	"Yes"
"2"	2	"F"	"Yes"
"3"	10	"M"	"No"
"4"	17	"F"	"Yes"
"5"	20	"F"	"Yes"
"6"	25	"M"	"Yes"
"7"	29	"F"	"Yes"
"8"	31	"F"	"Yes"
"9"	49	"M"	"No"
"10"	56	"M"	"No"
"11"	60	"F"	"No"
"12"	62	"M"	"No"
"13"	66	"M"	"Yes"
"14"	67	"F"	"No"
"15"	72	"F"	"Yes"
"16"	75	"F"	NA
"17"	76	"F"	"Yes"
"18"	83	"M"	"Yes"
"19"	85	"M"	"No"
"20"	89	"F"	"No"
"21"	91	"F"	"No"
"22"	96	"F"	"Yes"
"23"	108	"F"	"Yes"
"24"	131	"F"	"Yes"
"25"	136	"M"	"Yes"
"26"	141	"F"	"Yes"
"27"	156	"M"	"No"
"28"	171	"M"	"No"
"29"	178	"F"	"Yes"
"30"	192	"F"	"Yes"
"31"	195	"F"	"Yes"
"32"	216	"M"	"No"
"33"	218	"M"	"Yes"
"34"	225	"M"	"No"
"35"	237	"M"	"No"
"36"	241	"M"	"Yes"
"37"	246	"M"	"No"
"38"	249	"M"	"Yes"
"39"	281	"F"	"No"
"40"	302	"F"	"Yes"
"41"	308	"F"	"Yes"
"42"	314	"M"	"Yes"
"43"	328	"F"	NA
"44"	331	"F"	NA
"45"	339	"M"	"Yes"
"46"	340	"F"	"No"
"47"	347	"M"	NA
"48"	350	"M"	"Yes"
"49"	353	"F"	"No"
"50"	358	"M"	"Yes"
"51"	365	"M"	"Yes"
"52"	375	"M"	"Yes"
"53"	376	"M"	"Yes"
"54"	379	"F"	"Yes"
"55"	382	"M"	NA
"56"	383	"M"	"No"
"57"	386	"F"	"No"
"58"	392	"F"	"Yes"
"59"	394	"F"	NA
"60"	395	"F"	NA
"61"	396	"F"	"Yes"
"62"	397	"F"	"Yes"
"63"	402	"M"	"Yes"
"64"	418	"M"	"No"
"65"	429	"M"	"Yes"
"66"	438	"M"	"No"
"67"	446	"F"	"Yes"
"68"	459	"F"	NA
"69"	473	"F"	"No"
"70"	477	"F"	"Yes"
"71"	479	"F"	"No"
"72"	499	"F"	NA
"73"	501	"M"	"Yes"
"74"	505	"M"	"Yes"
"75"	509	"M"	"Yes"
"76"	515	"F"	"Yes"
"77"	516	"M"	"No"
"78"	524	"M"	"Yes"
"79"	543	"F"	"No"
"80"	554	"F"	"Yes"
"81"	559	"M"	"Yes"
"82"	564	"M"	"Yes"
"83"	567	"M"	"Yes"
"84"	583	"F"	"Yes"
"85"	586	"F"	"DK"
"86"	596	"M"	"Yes"
"87"	598	"M"	"Yes"
"88"	598	"M"	NA
"89"	601	"F"	"Yes"
"90"	602	"M"	"No"
"91"	612	"M"	"Yes"
"92"	614	"F"	"No"
"93"	623	"M"	"Yes"
"94"	628	"M"	"Yes"
"95"	632	"M"	"Yes"
"96"	653	"F"	"Yes"
"97"	676	"M"	"No"
"98"	680	"F"	"Yes"
"99"	697	"F"	"No"
"100"	703	"M"	"No"
"101"	742	"F"	"No"
"102"	748	"F"	"No"
"103"	751	"M"	"Yes"
"104"	778	"M"	NA
"105"	789	"M"	"No"
"106"	795	"F"	"No"
